PR Number,Title,Created At,Updated At,State,Files Changed,Total Comments,Decision Time,URL,Type of Change
56357,Add Uonet+ Vulcan integration,2021-09-17 20:54:19+00:00,2022-05-03 10:37:54+00:00,merged,19,37,193,https://github.com/home-assistant/core/pull/56357,New integration (thank you!)
89314,Add majestic virtual integration for Intellifire,2023-03-07 20:41:47+00:00,2023-06-13 23:01:45+00:00,closed,2,0,97,https://github.com/home-assistant/core/pull/89314,New integration (thank you!)
121599,Add Fluss integration,2024-07-09 11:45:17+00:00,2024-09-24 00:07:41+00:00,closed,14,16,75,https://github.com/home-assistant/core/pull/121599,New integration (thank you!)
102371,Add lektrico integration,2023-10-20 08:31:56+00:00,2024-08-31 12:05:34+00:00,merged,26,207,315,https://github.com/home-assistant/core/pull/102371,New integration (thank you!)
70908,New KinCony Hx component,2022-04-27 13:26:45+00:00,2022-08-11 10:01:55+00:00,closed,9,0,104,https://github.com/home-assistant/core/pull/70908,New integration (thank you!)
71965,Add EVENT_USER_UPDATED,2022-05-16 19:23:19+00:00,2022-06-11 04:04:14+00:00,merged,2,0,24,https://github.com/home-assistant/core/pull/71965,New integration (thank you!)
76756,Add Tami4 Integration,2022-08-14 13:17:41+00:00,2023-02-15 17:04:28+00:00,closed,18,12,184,https://github.com/home-assistant/core/pull/76756,New integration (thank you!)
46332,Add Freedompro,2021-02-10 13:51:38+00:00,2021-08-15 09:02:44+00:00,merged,17,111,139,https://github.com/home-assistant/core/pull/46332,New integration (thank you!)
108337,Add new virtual integration for opower City of Austin Utilities provider,2024-01-19 02:49:57+00:00,2024-01-30 04:06:25+00:00,merged,3,0,9,https://github.com/home-assistant/core/pull/108337,New integration (thank you!)
99776,Add Husqvarna Automower integration,2023-09-06 21:24:03+00:00,2023-09-19 23:01:43+00:00,closed,1158,120,12,https://github.com/home-assistant/core/pull/99776,New integration (thank you!)
67985,Add Uptime Kuma Integration,2022-03-11 07:17:26+00:00,2022-07-07 18:01:51+00:00,closed,13,4,117,https://github.com/home-assistant/core/pull/67985,New integration (thank you!)
115645,Add ElevenLabs text-to-speech integration,2024-04-15 12:45:09+00:00,2024-08-26 20:01:59+00:00,merged,18,98,107,https://github.com/home-assistant/core/pull/115645,New integration (thank you!)
68845,Add integration for Tuya wake up light ii,2022-03-29 15:47:51+00:00,2022-04-28 08:07:03+00:00,merged,3,3,28,https://github.com/home-assistant/core/pull/68845,New integration (thank you!)
54438,Create 'new' Tomorrow.io integration which is a rebrand of ClimaCell,2021-08-11 00:32:45+00:00,2022-03-22 04:40:59+00:00,closed,34,0,55,https://github.com/home-assistant/core/pull/54438,New integration (thank you!)
48310,Add emonitor integration,2021-03-25 06:32:42+00:00,2021-04-06 20:01:58+00:00,merged,15,17,11,https://github.com/home-assistant/core/pull/48310,New integration (thank you!)
47995,Flexpool.io Sensors Integration,2021-03-16 15:11:26+00:00,2021-09-19 00:03:10+00:00,closed,15,37,185,https://github.com/home-assistant/core/pull/47995,New integration (thank you!)
67358,Add jvc projectors,2022-02-27 23:37:05+00:00,2022-05-30 02:44:54+00:00,closed,10,2,90,https://github.com/home-assistant/core/pull/67358,New integration (thank you!)
55619,Add TOLO Sauna (tolo) integration,2021-09-02 21:53:26+00:00,2021-11-27 10:04:23+00:00,merged,17,98,82,https://github.com/home-assistant/core/pull/55619,New integration (thank you!)
